"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7399","Soft Assertions Demo","chromium","2026-05-22","failed","2026-05-22","","SoftAssertions.spec.js","",""
"","3455","Home Page Test","chromium","2026-05-22","passed","2026-05-22","","HomePageTest.spec.js","",""
"","1826","Multiple Locators Test","chromium","2026-05-22","passed","2026-05-22","","MultipleLocators.spec.js","",""
"","9073","Built-in Locators Demo","chromium","2026-05-22","passed","2026-05-22","","LocatorsBuiltIn.spec.js","",""
"","5827","Locators Test","chromium","2026-05-22","passed","2026-05-22","","Locators.spec.js","",""
"","8366","test","chromium","2026-05-22","passed","2026-05-22","","Mytest.spec.js","",""
"","3671","get started link","chromium","2026-05-22","passed","2026-05-22","","example.spec.js","",""
"","8547","Handle Radio Buttons","chromium","2026-05-22","passed","2026-05-22","","RadioButtons.spec.js","",""
"","5152","Assertions Demo Test","chromium","2026-05-22","passed","2026-05-22","","Assertions.spec.js","",""
"","3621","has title","chromium","2026-05-22","passed","2026-05-22","","example.spec.js","",""
"","10440","Check Box Test","chromium","2026-05-22","passed","2026-05-22","","CheckBoxTest.spec.js","",""
